supplier_id,supplier_name,country,category,onboarding_date,certification
1,"Zavala, Smith and Jordan",India,Raw Material,2022-09-07,ISO14001
2,"Knapp, Smith and Peters",Germany,Raw Material,2024-08-22,ISO14001
3,"Sanchez, Mcbride and Lewis",China,Raw Material,2022-11-27,
4,"Bright, Moore and Adkins",USA,Packaging,2023-08-16,ISO14001
5,Munoz-Lopez,India,Raw Material,2026-01-02,
6,"Hernandez, Buckley and Moore",China,Raw Material,2026-03-08,ISO9001
7,"Munoz, Patton and Anderson",Germany,Packaging,2023-08-25,
8,Marsh-Pugh,Germany,Raw Material,2025-10-06,ESG Certified
9,Hess-Nelson,Vietnam,Chemicals,2023-05-05,ESG Certified
10,"Alvarado, Figueroa and Shields",USA,Packaging,2023-11-22,
11,Henderson Group,India,Raw Material,2025-09-02,ESG Certified
12,Fox Inc,USA,Raw Material,2024-05-10,ESG Certified
13,Schmidt and Sons,Vietnam,Electronics,2023-10-02,ISO9001
14,Ramirez-Romero,Germany,Electronics,2022-08-31,
15,Shields-Gonzalez,Vietnam,Electronics,2025-02-10,ESG Certified
16,Thompson-Jones,China,Chemicals,2025-10-11,
17,Sanchez Group,USA,Raw Material,2025-07-25,ISO9001
18,Sanchez-Mcknight,India,Packaging,2023-05-08,ISO9001
19,Dean PLC,India,Electronics,2022-09-26,ISO9001
20,Smith Inc,China,Electronics,2023-03-20,
21,"Mccann, Morris and Smith",India,Chemicals,2025-07-22,ESG Certified
22,"Robinson, Donovan and Thompson",USA,Chemicals,2024-11-26,ISO9001
23,Lloyd LLC,Germany,Electronics,2024-09-19,ISO9001
24,Harris-Smith,China,Chemicals,2023-02-26,ISO9001
25,Lynch-Patrick,Germany,Packaging,2022-12-23,ESG Certified
26,Brewer-Maynard,Germany,Chemicals,2022-10-07,ESG Certified
27,Butler LLC,Vietnam,Packaging,2023-12-10,ISO14001
28,Phillips-Baker,Germany,Chemicals,2021-12-02,
29,Ramos LLC,Germany,Raw Material,2021-06-19,ESG Certified
30,Savage-Hopkins,USA,Raw Material,2023-03-16,ESG Certified
